z T N2 O2 Ar HO2 HO NO2 NO ClO Cl CFC12
00.0 283.6 2.0070E+19 5.3850E+18 2.4010E+17 1.8382E+08 3.9222E+05 3.8821E+03 3.8880E+03 4.1994E+08 1.7953E+01 1.8471E+10
00.5 282.2 1.8990E+19 5.0940E+18 2.2710E+17 1.3615E+08 3.5118E+05 9.5195E+03 1.1141E+04 2.9651E+08 2.5462E+01 1.7061E+10
01.0 280.2 1.8000E+19 4.8280E+18 2.1530E+17 1.1237E+08 3.3715E+05 2.1999E+04 2.9568E+04 2.1453E+08 3.5573E+01 1.5761E+10
01.5 277.7 1.7080E+19 4.5830E+18 2.0430E+17 1.0054E+08 3.4163E+05 4.8068E+04 7.2986E+04 1.5890E+08 4.8988E+01 1.4561E+10
02.0 274.7 1.6230E+19 4.3550E+18 1.9420E+17 9.5291E+07 3.6043E+05 9.9607E+04 1.6823E+05 1.2040E+08 6.6535E+01 1.3455E+10
02.5 271.4 1.5440E+19 4.1420E+18 1.8470E+17 9.3846E+07 3.9139E+05 1.9634E+05 3.6351E+05 9.3245E+07 8.9174E+01 1.2434E+10
03.0 267.8 1.4690E+19 3.9400E+18 1.7570E+17 9.4541E+07 4.3324E+05 3.6921E+05 7.3909E+05 7.3747E+07 1.1800E+02 1.1492E+10
03.5 264.0 1.3970E+19 3.7490E+18 1.6720E+17 9.6204E+07 4.8492E+05 6.6415E+05 1.4191E+06 5.9518E+07 1.5426E+02 1.0624E+10
04.0 260.0 1.3290E+19 3.5660E+18 1.5900E+17 9.7912E+07 5.4523E+05 1.1459E+06 2.5821E+06 4.8977E+07 1.9932E+02 9.8234E+09
04.5 256.0 1.2640E+19 3.3900E+18 1.5120E+17 9.8922E+07 6.1256E+05 1.9012E+06 4.4670E+06 4.1062E+07 2.5468E+02 9.0847E+09
05.0 252.0 1.2010E+19 3.2210E+18 1.4360E+17 9.8671E+07 6.8483E+05 3.0406E+06 7.3715E+06 3.5047E+07 3.2196E+02 8.4031E+09
05.5 248.0 1.1390E+19 3.0570E+18 1.3630E+17 9.6812E+07 7.5950E+05 4.6985E+06 1.1639E+07 3.0430E+07 4.0291E+02 7.7741E+09
06.0 244.1 1.0800E+19 2.8970E+18 1.2920E+17 9.3231E+07 8.3367E+05 7.0309E+06 1.7636E+07 2.6857E+07 4.9934E+02 7.1935E+09
06.5 240.4 1.0220E+19 2.7420E+18 1.2230E+17 8.8041E+07 9.0435E+05 1.0210E+07 2.5717E+07 2.4078E+07 6.1318E+02 6.6575E+09
07.0 236.8 9.6610E+18 2.5920E+18 1.1560E+17 8.1536E+07 9.6868E+05 1.4419E+07 3.6188E+07 2.1911E+07 7.4641E+02 6.1623E+09
07.5 233.5 9.1150E+18 2.4450E+18 1.0900E+17 7.4126E+07 1.0242E+06 1.9841E+07 4.9267E+07 2.0225E+07 9.0108E+02 5.7048E+09
08.0 230.4 8.5840E+18 2.3030E+18 1.0270E+17 6.6259E+07 1.0692E+06 2.6651E+07 6.5055E+07 1.8923E+07 1.0793E+03 5.2820E+09
08.5 227.5 8.0690E+18 2.1650E+18 9.6520E+16 5.8359E+07 1.1025E+06 3.5007E+07 8.3515E+07 1.7934E+07 1.2831E+03 4.8909E+09
09.0 224.9 7.5700E+18 2.0310E+18 9.0550E+16 5.0772E+07 1.1239E+06 4.5042E+07 1.0447E+08 1.7205E+07 1.5147E+03 4.5292E+09
09.5 222.6 7.0880E+18 1.9010E+18 8.4780E+16 4.3751E+07 1.1339E+06 5.6860E+07 1.2761E+08 1.6696E+07 1.7764E+03 4.1944E+09
10.0 220.7 6.6220E+18 1.7770E+18 7.9210E+16 3.7448E+07 1.1335E+06 7.0530E+07 1.5252E+08 1.6380E+07 2.0703E+03 3.8843E+09
10.5 219.0 6.1750E+18 1.6570E+18 7.3860E+16 3.1930E+07 1.1243E+06 8.6086E+07 1.7872E+08 1.6236E+07 2.3988E+03 3.5971E+09
11.0 217.7 5.7470E+18 1.5420E+18 6.8740E+16 2.7198E+07 1.1082E+06 1.0353E+08 2.0569E+08 1.6248E+07 2.7641E+03 3.3309E+09
11.5 216.6 5.3400E+18 1.4330E+18 6.3880E+16 2.3208E+07 1.0868E+06 1.2285E+08 2.3292E+08 1.6407E+07 3.1689E+03 3.0840E+09
12.0 215.7 4.9560E+18 1.3300E+18 5.9280E+16 1.9888E+07 1.0622E+06 1.4398E+08 2.5993E+08 1.6708E+07 3.6156E+03 2.8549E+09
12.5 215.1 4.5940E+18 1.2320E+18 5.4950E+16 1.7157E+07 1.0361E+06 1.6686E+08 2.8632E+08 1.7148E+07 4.1070E+03 2.6423E+09
13.0 214.6 4.2540E+18 1.1410E+18 5.0890E+16 1.4931E+07 1.0099E+06 1.9143E+08 3.1175E+08 1.7729E+07 4.6461E+03 2.4448E+09
13.5 214.2 3.9370E+18 1.0560E+18 4.7090E+16 1.3132E+07 9.8494E+05 2.1762E+08 3.3598E+08 1.8452E+07 5.2360E+03 2.2614E+09
14.0 213.9 3.6420E+18 9.7690E+17 4.3560E+16 1.1690E+07 9.6234E+05 2.4534E+08 3.5887E+08 1.9323E+07 5.8802E+03 2.0909E+09
14.5 213.6 3.3670E+18 9.0320E+17 4.0270E+16 1.0547E+07 9.4295E+05 2.7454E+08 3.8035E+08 2.0349E+07 6.5827E+03 1.9323E+09
15.0 213.5 3.1120E+18 8.3490E+17 3.7220E+16 9.6516E+06 9.2749E+05 3.0518E+08 4.0044E+08 2.1539E+07 7.3475E+03 1.7849E+09
15.5 213.3 2.8760E+18 7.7160E+17 3.4400E+16 8.9649E+06 9.1655E+05 3.3722E+08 4.1922E+08 2.2903E+07 8.1795E+03 1.6476E+09
16.0 213.1 2.6580E+18 7.1300E+17 3.1790E+16 8.4548E+06 9.1060E+05 3.7064E+08 4.3683E+08 2.4454E+07 9.0840E+03 1.5199E+09
16.5 213.0 2.4560E+18 6.5880E+17 2.9380E+16 8.0964E+06 9.1008E+05 4.0546E+08 4.5344E+08 2.6204E+07 1.0067E+04 1.4011E+09
17.0 212.8 2.2690E+18 6.0870E+17 2.7140E+16 7.8708E+06 9.1538E+05 4.4167E+08 4.6926E+08 2.8167E+07 1.1135E+04 1.2904E+09
17.5 212.8 2.0960E+18 5.6220E+17 2.5070E+16 7.7639E+06 9.2689E+05 4.7933E+08 4.8452E+08 3.0358E+07 1.2296E+04 1.1874E+09
18.0 212.7 1.9360E+18 5.1930E+17 2.3150E+16 7.7656E+06 9.4504E+05 5.1848E+08 4.9945E+08 3.2792E+07 1.3558E+04 1.0914E+09
18.5 212.7 1.7870E+18 4.7950E+17 2.1380E+16 7.8691E+06 9.7027E+05 5.5916E+08 5.1431E+08 3.5484E+07 1.4931E+04 1.0021E+09
19.0 212.7 1.6500E+18 4.4270E+17 1.9740E+16 8.0699E+06 1.0031E+06 6.0145E+08 5.2932E+08 3.8450E+07 1.6425E+04 9.1900E+08
19.5 212.7 1.5230E+18 4.0860E+17 1.8220E+16 8.3655E+06 1.0442E+06 6.4540E+08 5.4474E+08 4.1702E+07 1.8053E+04 8.4166E+08
20.0 212.9 1.4060E+18 3.7710E+17 1.6810E+16 8.7541E+06 1.0941E+06 6.9106E+08 5.6079E+08 4.5254E+07 1.9828E+04 7.6974E+08
20.5 213.0 1.2970E+18 3.4790E+17 1.5510E+16 9.2347E+06 1.1536E+06 7.3849E+08 5.7771E+08 4.9116E+07 2.1765E+04 7.0288E+08
21.0 213.3 1.1970E+18 3.2100E+17 1.4310E+16 9.8060E+06 1.2236E+06 7.8772E+08 5.9572E+08 5.3296E+07 2.3882E+04 6.4076E+08
21.5 213.5 1.1040E+18 2.9610E+17 1.3200E+16 1.0466E+07 1.3049E+06 8.3875E+08 6.1503E+08 5.7798E+07 2.6198E+04 5.8311E+08
22.0 213.9 1.0180E+18 2.7310E+17 1.2180E+16 1.1210E+07 1.3987E+06 8.9157E+08 6.3586E+08 6.2622E+07 2.8735E+04 5.2965E+08
22.5 214.2 9.3870E+17 2.5180E+17 1.1230E+16 1.2032E+07 1.5060E+06 9.4611E+08 6.5839E+08 6.7761E+07 3.1516E+04 4.8012E+08
23.0 214.7 8.6570E+17 2.3220E+17 1.0350E+16 1.2924E+07 1.6279E+06 1.0023E+09 6.8283E+08 7.3206E+07 3.4569E+04 4.3430E+08
23.5 215.1 7.9830E+17 2.1410E+17 9.5480E+15 1.3872E+07 1.7657E+06 1.0599E+09 7.0936E+08 7.8936E+07 3.7925E+04 3.9196E+08
24.0 215.7 7.3610E+17 1.9750E+17 8.8050E+15 1.4860E+07 1.9206E+06 1.1188E+09 7.3817E+08 8.4926E+07 4.1617E+04 3.5290E+08
24.5 216.2 6.7870E+17 1.8210E+17 8.1190E+15 1.5869E+07 2.0939E+06 1.1786E+09 7.6940E+08 9.1142E+07 4.5683E+04 3.1693E+08
25.0 216.8 6.2590E+17 1.6790E+17 7.4870E+15 1.6875E+07 2.2866E+06 1.2391E+09 8.0323E+08 9.7542E+07 5.0166E+04 2.8386E+08
25.5 217.5 5.7720E+17 1.5480E+17 6.9040E+15 1.7854E+07 2.5001E+06 1.2997E+09 8.3978E+08 1.0407E+08 5.5112E+04 2.5353E+08
26.0 218.2 5.3230E+17 1.4280E+17 6.3670E+15 1.8779E+07 2.7354E+06 1.3599E+09 8.7917E+08 1.1067E+08 6.0575E+04 2.2576E+08
26.5 218.9 4.9100E+17 1.3170E+17 5.8730E+15 1.9624E+07 2.9934E+06 1.4191E+09 9.2149E+08 1.1728E+08 6.6613E+04 2.0041E+08
27.0 219.7 4.5290E+17 1.2150E+17 5.4170E+15 2.0366E+07 3.2749E+06 1.4767E+09 9.6681E+08 1.2381E+08 7.3289E+04 1.7733E+08
27.5 220.5 4.1780E+17 1.1210E+17 4.9970E+15 2.0983E+07 3.5806E+06 1.5318E+09 1.0151E+09 1.3018E+08 8.0677E+04 1.5636E+08
28.0 221.4 3.8550E+17 1.0340E+17 4.6110E+15 2.1461E+07 3.9109E+06 1.5835E+09 1.0664E+09 1.3631E+08 8.8855E+04 1.3738E+08
28.5 222.3 3.5570E+17 9.5430E+16 4.2550E+15 2.1788E+07 4.2662E+06 1.6309E+09 1.1206E+09 1.4210E+08 9.7909E+04 1.2025E+08
29.0 223.2 3.2830E+17 8.8080E+16 3.9270E+15 2.1963E+07 4.6464E+06 1.6732E+09 1.1776E+09 1.4747E+08 1.0794E+05 1.0484E+08
29.5 224.2 3.0310E+17 8.1320E+16 3.6260E+15 2.1988E+07 5.0516E+06 1.7092E+09 1.2370E+09 1.5232E+08 1.1904E+05 9.1035E+07
30.0 225.2 2.7990E+17 7.5080E+16 3.3480E+15 2.1872E+07 5.4815E+06 1.7380E+09 1.2987E+09 1.5655E+08 1.3134E+05 7.8707E+07
30.5 226.2 2.5850E+17 6.9340E+16 3.0920E+15 2.1630E+07 5.9358E+06 1.7587E+09 1.3622E+09 1.6010E+08 1.4495E+05 6.7746E+07
31.0 227.3 2.3880E+17 6.4060E+16 2.8560E+15 2.1279E+07 6.4141E+06 1.7704E+09 1.4269E+09 1.6289E+08 1.6001E+05 5.8040E+07
31.5 228.4 2.2060E+17 5.9190E+16 2.6390E+15 2.0842E+07 6.9159E+06 1.7723E+09 1.4925E+09 1.6485E+08 1.7666E+05 4.9485E+07
32.0 229.5 2.0390E+17 5.4710E+16 2.4390E+15 2.0341E+07 7.4409E+06 1.7639E+09 1.5580E+09 1.6595E+08 1.9506E+05 4.1980E+07
32.5 230.6 1.8850E+17 5.0580E+16 2.2550E+15 1.9796E+07 7.9886E+06 1.7447E+09 1.6227E+09 1.6613E+08 2.1536E+05 3.5427E+07
33.0 231.9 1.7430E+17 4.6770E+16 2.0850E+15 1.9230E+07 8.5590E+06 1.7146E+09 1.6857E+09 1.6540E+08 2.3773E+05 2.9736E+07
33.5 233.2 1.6120E+17 4.3240E+16 1.9280E+15 1.8661E+07 9.1516E+06 1.6736E+09 1.7461E+09 1.6374E+08 2.6235E+05 2.4819E+07
34.0 234.7 1.4900E+17 3.9980E+16 1.7820E+15 1.8106E+07 9.7666E+06 1.6220E+09 1.8027E+09 1.6119E+08 2.8940E+05 2.0595E+07
34.5 236.2 1.3780E+17 3.6960E+16 1.6480E+15 1.7579E+07 1.0404E+07 1.5604E+09 1.8544E+09 1.5776E+08 3.1905E+05 1.6986E+07
35.0 237.9 1.2740E+17 3.4180E+16 1.5240E+15 1.7092E+07 1.1063E+07 1.4897E+09 1.9003E+09 1.5353E+08 3.5147E+05 1.3923E+07
35.5 239.6 1.1790E+17 3.1620E+16 1.4100E+15 1.6651E+07 1.1745E+07 1.4109E+09 1.9391E+09 1.4854E+08 3.8683E+05 1.1339E+07
36.0 241.4 1.0900E+17 2.9250E+16 1.3040E+15 1.6263E+07 1.2448E+07 1.3253E+09 1.9699E+09 1.4289E+08 4.2527E+05 9.1726E+06
36.5 243.3 1.0090E+17 2.7080E+16 1.2070E+15 1.5932E+07 1.3173E+07 1.2345E+09 1.9916E+09 1.3666E+08 4.6693E+05 7.3692E+06
37.0 245.2 9.3460E+16 2.5070E+16 1.1180E+15 1.5657E+07 1.3918E+07 1.1400E+09 2.0036E+09 1.2996E+08 5.1190E+05 5.8783E+06
37.5 247.1 8.6580E+16 2.3230E+16 1.0360E+15 1.5438E+07 1.4681E+07 1.0434E+09 2.0051E+09 1.2287E+08 5.6023E+05 4.6546E+06
38.0 249.1 8.0240E+16 2.1530E+16 9.5980E+14 1.5270E+07 1.5459E+07 9.4634E+08 1.9957E+09 1.1551E+08 6.1192E+05 3.6578E+06
38.5 251.1 7.4420E+16 1.9960E+16 8.9010E+14 1.5148E+07 1.6249E+07 8.5048E+08 1.9753E+09 1.0798E+08 6.6693E+05 2.8520E+06
