z 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113
0.000000000000000000e+00 0.000000000000000000e+00 3.989578958333333722e-06 1.474229208333333301e-04 0.000000000000000000e+00 1.583233708333333326e-06 2.557927499999999941e-03 8.239375000000000171e-03 6.447570416666666138e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.611999166666667640e-06 3.982518333333333479e-04 9.953582083333333506e-08 1.267117625000000206e-06 4.280506416666666190e-08 5.329305375000000257e-09 4.844598875000000429e-06 6.288623750000000202e-06 1.083667916666666825e-05 7.360761666666667834e-07 1.613807541929791498e-13 0.000000000000000000e+00 2.846066750000000037e-06 1.182410333333333513e-06 9.749468749999998659e-07 1.416378666666666823e-07 7.809886208333333846e-07 2.328912416666666430e-07 2.389543916666667034e-07 3.274615833333333724e-07 3.167184249999999974e-07 2.474321375000000637e-07 4.057464124999999999e-07 2.359719576666666430e-09 5.246873791666667458e-06 1.143974833333333142e-06 6.767322500000000698e-04 9.089726250000000915e-08 3.895876624999999744e-08 1.302265999999999970e-07 8.326385416666667290e-08 7.774429166666666995e-07 1.237058958333333478e-06 8.863052916666666162e-07 1.511282874999999858e-06 1.820911624999999930e-07 1.274660791666666563e-07 4.239804291666667256e-08 7.756126458333334145e-07 1.616217333333333527e-07 1.616217333333333527e-07 1.974346875000000114e-05 3.391964541666666071e-06 6.364515416666667259e-06 3.157223333333333582e-05 8.892077499999998891e-05 0.000000000000000000e+00 1.435350875000000208e-07 9.391703749999997435e-05 6.511711666666665553e-04 0.000000000000000000e+00 5.884738333333331675e-04 0.000000000000000000e+00 6.245702249999998821e-06 0.000000000000000000e+00 2.244996666666666807e-02 3.966039166666666016e-04 0.000000000000000000e+00 6.532484999999999171e-05 9.575682499999997642e-04 1.100055124999999593e-04 9.512452499999998453e-04 9.771046666666665544e-06 1.525014083333333256e-06 0.000000000000000000e+00 2.113422291666666717e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.060746833333333326e-02 8.737980416666667541e-03 6.190827916666665409e-04 7.871387916666664972e-03 2.616758750000000317e-03 2.616758750000000317e-03 1.352784374999999907e-03 5.643543333333333182e-05 3.197875833333333850e-04 3.247593333333333165e-03 0.000000000000000000e+00 1.987319958333333713e-07 8.482079908291666220e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.058254166666666607e-02 5.901318333333333693e-02 2.471864166666665977e-03 1.705193291666666801e-05
5.000000000000000000e-01 0.000000000000000000e+00 4.793311749999999974e-06 1.595437041666666542e-04 0.000000000000000000e+00 1.886027916666666670e-06 2.963920000000000096e-03 8.812642083333334028e-03 6.951556250000000270e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.138037583333333481e-05 4.675350416666667415e-04 1.191257875000000406e-07 1.537810833333333440e-06 4.736262541666666533e-08 6.484099583333332899e-09 5.894444166666666775e-06 7.642148750000000935e-06 1.308731541666666242e-05 9.382976166666665047e-07 2.047529541992708557e-13 0.000000000000000000e+00 3.576066625000000323e-06 1.419473166666666586e-06 1.175383833333333420e-06 1.685924916666666642e-07 9.547596750000000992e-07 2.763429666666666091e-07 2.836383583333332894e-07 3.984297083333333004e-07 3.855729958333332376e-07 3.036871625000000186e-07 4.802928958333332889e-07 2.933833598749999711e-09 6.384297499999998991e-06 1.395119708333333419e-06 7.834711250000000364e-04 1.067346874999999740e-07 4.574310000000000678e-08 1.503490083333333202e-07 9.612458749999999472e-08 9.396569166666665664e-07 1.471171374999999811e-06 1.110815166666666576e-06 1.847798166666666420e-06 2.226259708333333489e-07 1.558401875000000163e-07 5.140175375000000601e-08 9.768002916666668188e-07 1.968748500000000061e-07 1.968748500000000061e-07 2.298499999999999762e-05 4.100558333333333419e-06 7.646000416666664867e-06 3.735337499999999878e-05 1.004086124999999970e-04 0.000000000000000000e+00 1.742778166666666661e-07 1.111123125000000280e-04 7.609971666666664894e-04 0.000000000000000000e+00 6.932955000000000844e-04 0.000000000000000000e+00 7.532641958333333346e-06 0.000000000000000000e+00 2.609231666666666713e-02 4.712213749999999857e-04 0.000000000000000000e+00 7.750637499999999194e-05 1.091551083333333356e-03 1.312611750000000079e-04 1.137185708333333370e-03 1.137090583333333302e-05 1.816477416666667149e-06 0.000000000000000000e+00 2.514482083333333614e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.180326000000000118e-02 1.044184249999999953e-02 7.135550833333334465e-04 8.684805416666665015e-03 3.135114166666666622e-03 3.135114166666666622e-03 1.554431499999999952e-03 6.537827499999999536e-05 3.704970833333333575e-04 3.686470833333333180e-03 0.000000000000000000e+00 2.318767791666666477e-07 1.063150581408333328e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.420506666666667445e-02 6.684444583333333523e-02 2.840005000000000047e-03 2.075322250000000474e-05
1.000000000000000000e+00 0.000000000000000000e+00 5.467144333333334060e-06 1.707169541666666950e-04 0.000000000000000000e+00 2.154186125000000021e-06 3.333012916666665965e-03 9.346269583333332090e-03 7.412989583333333410e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.292947000000000345e-05 5.310565833333333709e-04 1.358069458333333594e-07 1.782087624999999741e-06 4.988405958333333406e-08 7.525738333333333879e-09 6.841255000000001129e-06 8.864332916666666979e-06 1.515647874999999985e-05 1.136410725000000085e-06 2.440033333713833648e-13 0.000000000000000000e+00 4.274860666666666359e-06 1.634841916666666819e-06 1.357092125000000228e-06 1.910683833333333393e-07 1.110838916666666967e-06 3.122702125000000062e-07 3.206056291666666330e-07 4.624061958333333383e-07 4.475519499999999870e-07 3.539362583333333885e-07 5.417503416666667143e-07 3.442183169583333466e-09 7.410070000000000019e-06 1.621150583333332907e-06 8.813359583333336056e-04 1.196677500000000294e-07 5.128323749999999136e-08 1.656593125000000099e-07 1.059107875000000112e-07 1.095494625000000020e-06 1.684914083333333622e-06 1.333438083333333500e-06 2.149718083333333289e-06 2.589917583333332889e-07 1.813041499999999817e-07 5.905950041666667060e-08 1.170560625000000065e-06 2.286158750000000103e-07 2.286158750000000103e-07 2.594850416666666650e-05 4.742135833333333461e-06 8.807675416666667598e-06 4.274162499999999924e-05 1.109555583333333268e-04 0.000000000000000000e+00 2.020431666666666495e-07 1.268489916666666595e-04 8.615437083333332734e-04 0.000000000000000000e+00 7.890794999999999927e-04 0.000000000000000000e+00 8.615979791666666842e-06 0.000000000000000000e+00 2.942863333333333234e-02 5.392210833333333907e-04 0.000000000000000000e+00 8.861478749999999983e-05 1.213422874999999998e-03 1.506177875000000227e-04 1.306293208333333044e-03 1.278342041666666556e-05 2.068632374999999790e-06 0.000000000000000000e+00 2.880080416666667306e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.290207374999999962e-02 1.199474083333333489e-02 7.999931666666666155e-04 9.435528333333331741e-03 3.607266249999999900e-03 3.607266249999999900e-03 1.739104583333333240e-03 7.356755833333332494e-05 4.169312916666666723e-04 4.089714583333333396e-03 0.000000000000000000e+00 2.577116124999999692e-07 1.254481754208333359e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.754023333333332740e-02 7.402059583333332748e-02 3.177227499999999653e-03 2.408859000000000445e-05
1.500000000000000000e+00 0.000000000000000000e+00 5.883519458333333449e-06 1.764415208333333304e-04 0.000000000000000000e+00 2.322401374999999579e-06 3.552687916666666737e-03 9.602925416666666450e-03 7.630078750000000853e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.386457625000000109e-05 5.707804166666666712e-04 1.459745500000000172e-07 1.947461750000000362e-06 4.941499458333333409e-08 8.235025416666667390e-09 7.486404583333332258e-06 9.693709583333331786e-06 1.656406541666666772e-05 1.297755666666666383e-06 2.756909167089583794e-13 0.000000000000000000e+00 4.818208833333332927e-06 1.777065374999999969e-06 1.478251374999999580e-06 2.041779375000000284e-07 1.218293833333333319e-06 3.327356208333332948e-07 3.418191208333333642e-07 5.060361166666667471e-07 4.899155208333332847e-07 3.890175791666665747e-07 5.761282291666666423e-07 3.812444285833332438e-09 8.107903333333332064e-06 1.775824666666666295e-06 9.403701250000000940e-04 1.265253791666666775e-07 5.422761250000000478e-08 1.721106583333333541e-07 1.100443541666666658e-07 1.207834583333333602e-06 1.822769291666666630e-06 1.510262499999999671e-06 2.357874583333333013e-06 2.841027083333333382e-07 1.988526250000000035e-07 6.403264916666666186e-08 1.322058624999999956e-06 2.503101333333333808e-07 2.503101333333333808e-07 2.777088333333333197e-05 5.172615416666666016e-06 9.577698333333334142e-06 4.630055416666665065e-05 1.168866375000000060e-04 0.000000000000000000e+00 2.208437249999999707e-07 1.368595208333333289e-04 9.235914583333332826e-04 0.000000000000000000e+00 8.496727916666668929e-04 0.000000000000000000e+00 9.300522458333331267e-06 0.000000000000000000e+00 3.147173749999999937e-02 5.831470833333334035e-04 0.000000000000000000e+00 9.575722083333334806e-05 1.284538666666666532e-03 1.632230250000000008e-04 1.416902375000000285e-03 1.360278458333333129e-05 2.222177291666666576e-06 0.000000000000000000e+00 3.116381666666667147e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.349695583333333608e-02 1.300931125000000070e-02 8.523077916666668566e-04 9.841799166666666612e-03 3.917622083333332367e-03 3.917622083333332367e-03 1.848870833333333399e-03 7.857705000000000690e-05 4.452727083333333689e-04 4.321530416666666090e-03 0.000000000000000000e+00 2.701441624999999676e-07 1.399552842041666499e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.923286666666667338e-02 7.810635416666665554e-02 3.378103333333333513e-03 2.636268375000000482e-05
2.000000000000000000e+00 0.000000000000000000e+00 6.253830041666667631e-06 1.819583749999999873e-04 0.000000000000000000e+00 2.478457333333333498e-06 3.759427083333332937e-03 9.852978333333333241e-03 7.836627500000001301e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.471577791666666631e-05 6.083453333333334193e-04 1.550666166666666827e-07 2.104515000000000128e-06 4.827507333333334617e-08 8.907307916666665787e-09 8.097795000000000283e-06 1.047941458333333378e-05 1.791746958333333316e-05 1.463078333333333389e-06 3.064218750462083092e-13 0.000000000000000000e+00 5.362392791666665225e-06 1.912159000000000016e-06 1.593371500000000021e-06 2.156100999999999224e-07 1.320089083333333266e-06 3.503833791666666694e-07 3.600195875000000559e-07 5.473898333333332030e-07 5.300065249999999603e-07 4.220475374999999056e-07 6.056044583333332412e-07 4.163105374583334116e-09 8.770894583333333405e-06 1.922509041666666906e-06 9.962669166666668265e-04 1.322944458333333337e-07 5.670000833333334630e-08 1.768029499999999758e-07 1.130413166666666326e-07 1.320571833333333198e-06 1.953911291666666627e-06 1.692128625000000252e-06 2.554986708333333465e-06 3.078353833333333155e-07 2.154770833333333003e-07 6.851931083333333336e-08 1.474500999999999632e-06 2.709025375000000169e-07 2.709025375000000169e-07 2.949923333333332704e-05 5.581387083333333179e-06 1.030910916666666714e-05 4.976377083333333190e-05 1.224999208333333385e-04 0.000000000000000000e+00 2.387041916666666474e-07 1.463691000000000146e-04 9.825167916666665852e-04 0.000000000000000000e+00 9.073330416666668292e-04 0.000000000000000000e+00 9.917035625000001733e-06 0.000000000000000000e+00 3.340552083333333394e-02 6.247128333333332520e-04 0.000000000000000000e+00 1.025480124999999989e-04 1.351480416666666837e-03 1.752088000000000224e-04 1.522103916666666746e-03 1.435300750000000015e-05 2.361571708333333979e-06 0.000000000000000000e+00 3.340654166666666446e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.406263333333333289e-02 1.397204708333333462e-02 9.019490833333333778e-04 1.023013249999999916e-02 4.211532916666667521e-03 4.211532916666667521e-03 1.952833749999999778e-03 8.332391250000000112e-05 4.721727083333334264e-04 4.542548750000000891e-03 0.000000000000000000e+00 2.798600791666666907e-07 1.537624887791666642e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.084426666666666539e-02 8.196382916666666851e-02 3.567931250000001050e-03 2.851947208333333449e-05
2.500000000000000000e+00 0.000000000000000000e+00 6.513590249999999770e-06 1.852083416666666313e-04 0.000000000000000000e+00 2.591688041666666839e-06 3.902990416666666292e-03 9.989195833333333954e-03 7.943737083333334004e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.530029000000000255e-05 6.358422916666665826e-04 1.613454833333333505e-07 2.227430958333334056e-06 4.608694458333333626e-08 9.436093333333333120e-09 8.578076666666667376e-06 1.109605291666666431e-05 1.898851458333333334e-05 1.615130291666666686e-06 3.335763333829999474e-13 0.000000000000000000e+00 5.843247041666665840e-06 2.015819249999999987e-06 1.682230333333333286e-06 2.230071916666666359e-07 1.400936416666666353e-06 3.613867499999999984e-07 3.714742000000000190e-07 5.799020833333333888e-07 5.615919166666666549e-07 4.485504500000000208e-07 6.235109875000000379e-07 4.452279331250000567e-09 9.291771666666664954e-06 2.038301749999999818e-06 1.035808958333333304e-03 1.354736583333333418e-07 5.805954999999998734e-08 1.779043416666666735e-07 1.137390208333333176e-07 1.416075499999999729e-06 2.052377499999999731e-06 1.856748333333333128e-06 2.711702624999999903e-06 3.267013249999999696e-07 2.286847333333333491e-07 7.183131583333332186e-08 1.609883916666666735e-06 2.871006166666666856e-07 2.871006166666666856e-07 3.074358333333333148e-05 5.898831249999998970e-06 1.087216458333333269e-05 5.245777083333333016e-05 1.262016958333333290e-04 0.000000000000000000e+00 2.526811166666666864e-07 1.534334125000000250e-04 1.025006458333333273e-03 0.000000000000000000e+00 9.500195000000000341e-04 0.000000000000000000e+00 1.035479920833333207e-05 0.000000000000000000e+00 3.479453333333333565e-02 6.561382083333333441e-04 0.000000000000000000e+00 1.076377250000000164e-04 1.397163041666666739e-03 1.842801833333333143e-04 1.601945666666666768e-03 1.485155416666666766e-05 2.458730583333332814e-06 0.000000000000000000e+00 3.509882916666667109e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.442093750000000146e-02 1.470233166666666709e-02 9.370634166666665793e-04 1.047660333333333242e-02 4.436264583333333553e-03 4.436264583333333553e-03 2.025391249999999518e-03 8.673166250000000251e-05 4.914297916666666164e-04 4.690927083333333407e-03 0.000000000000000000e+00 2.840311791666666743e-07 1.654982599541666469e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.178962083333332744e-02 8.453669166666667734e-02 3.700491666666666513e-03 3.021402791666666823e-05
3.000000000000000000e+00 0.000000000000000000e+00 6.746121708333332937e-06 1.884283041666666859e-04 0.000000000000000000e+00 2.697214083333333019e-06 4.037399583333333569e-03 1.012877124999999982e-02 8.048237916666665936e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.582851375000000196e-05 6.620660000000001084e-04 1.669327875000000265e-07 2.344801958333332970e-06 4.363924124999999290e-08 9.941545000000001159e-09 9.036733333333334486e-06 1.168493708333333423e-05 2.002394291666666668e-05 1.771815041666666761e-06 3.605858750529999651e-13 0.000000000000000000e+00 6.327629666666666627e-06 2.114814625000000071e-06 1.767103416666666696e-06 2.293530000000000289e-07 1.478007916666667017e-06 3.706814374999999549e-07 3.811242916666666139e-07 6.110310000000000668e-07 5.918018750000000174e-07 4.737843416666666734e-07 6.384579041666666309e-07 4.730424104583333691e-09 9.789436250000000661e-06 2.149006458333333313e-06 1.073504041666666726e-03 1.379840874999999997e-07 5.914474583333332025e-08 1.780513916666667040e-07 1.138300666666666733e-07 1.512919124999999973e-06 2.146292499999999577e-06 2.026178333333333554e-06 2.861129708333333085e-06 3.447179583333333356e-07 2.412810458333333337e-07 7.485539999999999940e-08 1.746502833333333440e-06 3.025965624999999942e-07 3.025965624999999942e-07 3.192922916666665996e-05 6.201984166666667052e-06 1.140806583333333555e-05 5.508958333333334537e-05 1.297240708333333192e-04 0.000000000000000000e+00 2.660363791666666620e-07 1.601601624999999857e-04 1.065461291666666699e-03 0.000000000000000000e+00 9.906344166666668834e-04 0.000000000000000000e+00 1.075147591666666891e-05 0.000000000000000000e+00 3.612075416666666455e-02 6.860482916666667047e-04 0.000000000000000000e+00 1.124963666666666624e-04 1.440474916666666799e-03 1.929539166666666659e-04 1.678156708333333703e-03 1.530797499999999805e-05 2.547266249999999915e-06 0.000000000000000000e+00 3.671703750000000023e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.476461791666666690e-02 1.540005499999999583e-02 9.706107500000001531e-04 1.071522041666666571e-02 4.650792916666666998e-03 4.650792916666666998e-03 2.094420000000000049e-03 8.997525833333334065e-05 5.098965416666666238e-04 4.833856249999999959e-03 0.000000000000000000e+00 2.866308166666666664e-07 1.769074436083333250e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.271447500000001063e-02 8.699502500000000360e-02 3.826702499999999271e-03 3.184096291666666353e-05
3.500000000000000000e+00 0.000000000000000000e+00 6.926092833333333090e-06 1.906209083333333415e-04 0.000000000000000000e+00 2.782852666666667125e-06 4.145121250000000611e-03 1.021762291666666704e-02 8.111184999999999923e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.622766833333333275e-05 6.836876249999998762e-04 1.711541875000000169e-07 2.446072333333333383e-06 4.083795333333333205e-08 1.037827583333333448e-08 9.434844166666666793e-06 1.219321541666666704e-05 2.093801333333333381e-05 1.928797000000000195e-06 3.862308333893749587e-13 0.000000000000000000e+00 6.793961791666666256e-06 2.199051124999999887e-06 1.839819874999999937e-06 2.337509625000000358e-07 1.545195708333333022e-06 3.767448374999999429e-07 3.875051291666666690e-07 6.379562500000000848e-07 6.179003333333332838e-07 4.958994250000000188e-07 6.477132541666667218e-07 4.979751354166666644e-09 1.021900499999999856e-05 2.244984999999999903e-06 1.103750208333333137e-03 1.392848666666666612e-07 5.969018750000000564e-08 1.765902333333333454e-07 1.128976583333333254e-07 1.605627749999999791e-06 2.225233333333333718e-06 2.194897166666666635e-06 2.991230208333333450e-06 3.603563000000000569e-07 2.522623374999999662e-07 7.749892833333332724e-08 1.879016250000000214e-06 3.159908833333333914e-07 3.159908833333333914e-07 3.289997916666666418e-05 6.461915833333332943e-06 1.186700249999999853e-05 5.742302916666666311e-05 1.324416208333333521e-04 0.000000000000000000e+00 2.775639833333333532e-07 1.657808958333333244e-04 1.098624041666666946e-03 0.000000000000000000e+00 1.024566875000000165e-03 0.000000000000000000e+00 1.107218270833333289e-05 0.000000000000000000e+00 3.719690833333332697e-02 7.112219583333333163e-04 0.000000000000000000e+00 1.165777666666666671e-04 1.474342208333333454e-03 2.002689458333333677e-04 1.742664041666666967e-03 1.565036458333332871e-05 2.615752375000000152e-06 0.000000000000000000e+00 3.807173333333332331e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.502097249999999849e-02 1.598950874999999910e-02 9.977662083333334146e-04 1.089134166666666688e-02 4.832798749999999734e-03 4.832798749999999734e-03 2.149769166666667172e-03 9.263572500000001337e-05 5.249119166666665936e-04 4.944715833333332596e-03 0.000000000000000000e+00 2.866998541666666425e-07 1.873647563916666260e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.334602499999999831e-02 8.888714166666668304e-02 3.928472083333332983e-03 3.323883291666667052e-05
4.000000000000000000e+00 0.000000000000000000e+00 7.085475291666667036e-06 1.927689083333333081e-04 0.000000000000000000e+00 2.862075624999999657e-06 4.245463750000000140e-03 1.030826500000000048e-02 8.171839999999999660e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.658097958333333742e-05 7.041430000000000649e-04 1.748148958333333642e-07 2.542400625000000046e-06 3.797125458333333117e-08 1.079350624999999951e-08 9.812196666666665989e-06 1.267644333333333186e-05 2.182170291666666893e-05 2.090433000000000201e-06 4.116121250589998940e-13 0.000000000000000000e+00 7.263267250000000826e-06 2.279300125000000276e-06 1.908757583333333532e-06 2.373302333333333983e-07 1.608970541666666748e-06 3.815413541666665987e-07 3.924902958333333548e-07 6.634731666666666461e-07 6.427649999999999988e-07 5.170304958333334206e-07 6.547885208333333874e-07 5.217798170833333833e-09 1.062869416666666723e-05 2.336308500000000317e-06 1.132573000000000000e-03 1.400815708333333261e-07 6.003048749999999711e-08 1.745036708333333336e-07 1.115741916666666598e-07 1.700338416666666667e-06 2.300324166666666617e-06 2.368241583333332672e-06 3.115138124999999744e-06 3.753386666666667073e-07 2.626710375000000137e-07 7.989185374999999720e-08 2.012303166666667058e-06 3.288030291666667114e-07 3.288030291666667114e-07 3.382327083333333773e-05 6.709097083333334957e-06 1.230281791666667036e-05 5.972549583333333010e-05 1.350349624999999979e-04 0.000000000000000000e+00 2.885357083333333091e-07 1.711171333333333421e-04 1.130116749999999842e-03 0.000000000000000000e+00 1.056789333333333194e-03 0.000000000000000000e+00 1.135089708333333429e-05 0.000000000000000000e+00 3.822776666666666268e-02 7.351415000000000900e-04 0.000000000000000000e+00 1.204599958333333362e-04 1.507066250000000133e-03 2.072319749999999752e-04 1.804126375000000100e-03 1.596032291666666915e-05 2.677269541666667148e-06 0.000000000000000000e+00 3.936555833333333629e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.526545166666666564e-02 1.655017083333333236e-02 1.023666625000000004e-03 1.106298708333333138e-02 5.005263333333333405e-03 5.005263333333333405e-03 2.202372499999999921e-03 9.515281666666666478e-05 5.392327083333332350e-04 5.050950416666666679e-03 0.000000000000000000e+00 2.856551500000000140e-07 1.975073233250000227e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.396961666666666435e-02 9.069230416666666794e-02 4.024553749999998896e-03 3.457695208333333735e-05
4.500000000000000000e+00 0.000000000000000000e+00 7.215415124999999263e-06 1.944697375000000188e-04 0.000000000000000000e+00 2.931418333333333208e-06 4.332690000000001020e-03 1.037798666666666682e-02 8.216615833333333618e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.686673666666666706e-05 7.225758333333334770e-04 1.777197375000000065e-07 2.630439583333333257e-06 3.505282583333333092e-08 1.117363041666666957e-08 1.015807625000000023e-05 1.311923166666666744e-05 2.264528666666666614e-05 2.253133749999999898e-06 4.362274167284583542e-13 0.000000000000000000e+00 7.722452500000001090e-06 2.352193666666666815e-06 1.971813458333333534e-06 2.398401708333333443e-07 1.667538958333333293e-06 3.845381291666667192e-07 3.957336291666666423e-07 6.869300000000000240e-07 6.655287500000000229e-07 5.362444541666667024e-07 6.588532208333333351e-07 5.439892891666667367e-09 1.100336458333333238e-05 2.419957499999999691e-06 1.158222416666666648e-03 1.402459791666666766e-07 6.010760416666666696e-08 1.716756375000000431e-07 1.097586041666666660e-07 1.794344291666666347e-06 2.368342916666666261e-06 2.542330750000000155e-06 3.228425333333333057e-06 3.889714166666667272e-07 2.722540041666666349e-07 8.197657541666667730e-08 2.142931791666666675e-06 3.405154166666666274e-07 3.405154166666666274e-07 3.464587500000000479e-05 6.935589166666666612e-06 1.270092125000000045e-05 6.189985833333333499e-05 1.372767958333333477e-04 0.000000000000000000e+00 2.985450833333332869e-07 1.759369291666666669e-04 1.158191999999999946e-03 0.000000000000000000e+00 1.085871166666666551e-03 0.000000000000000000e+00 1.158534575000000085e-05 0.000000000000000000e+00 3.914242916666666600e-02 7.567823333333332722e-04 0.000000000000000000e+00 1.239757083333333312e-04 1.537752125000000454e-03 2.135539083333333607e-04 1.859817499999999674e-03 1.621590333333333643e-05 2.728785000000000251e-06 0.000000000000000000e+00 4.053419166666666389e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.547675041666666390e-02 1.705987499999999865e-02 1.046712499999999943e-03 1.120799958333333103e-02 5.162496249999999794e-03 5.162496249999999794e-03 2.248877916666666438e-03 9.740525416666665620e-05 5.519893333333333917e-04 5.143422499999999661e-03 0.000000000000000000e+00 2.833767208333333544e-07 2.071044735708333386e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.448408750000000023e-02 9.228225000000001010e-02 4.110098750000000002e-03 3.579429041666667044e-05
